product_name,price,price_raw,category,brand,description,product_url,image_urls,vehicle_make,vehicle_model,year_range,engine_size,oem_part_number,supplier,scrape_date
Genuine Mitsubishi CVT Gearbox Oil J1 4 Liter,0.0,KSh0.00,In Stock,Mitsubishi,"DescriptionGenuine Mitsubishi CVT Gearbox Oil J1 4 LiterProduct details of Genuine Mitsubishi CVT Fluid J1 4 Liter-Specially formulated for use in Mitsubishi CVT gearbox-Made in Japan. 100% Original Mitsubishi Diaqueen-Effective throughtout the temperature range-Improved shift performance-Reduces varnish and sludge build up-Lancer, ASX, OutlanderThe ONLY fluid Mitsubishi Recommends for the CVT TransmissionGenuine Mitsubishi PartFit for Lancer, ASX, Pajero, Outlander with CVT TransmissionCapacity filling for the transmission please follow manufacturer recommendation. DO NOT OVERFILLSee moreLubricantsFollow us onFacebookfor latest offers!",https://polishventure.com/product/genuine-mitsubishi-cvt-gearbox-oil-j1-4-liter/,https://polishventure.com/wp-content/uploads/2022/06/Mitsubishi-CVT-400x400.jpg,Mitsubishi,Lancer,,,,PolishVenture,2025-11-02 14:27:58
Land Rover 3/Discovery 3 Rear Stabilizer Bar Bush D21.5,0.0,KSh0.00,SKU:24044In Stock,Land Rover,REAR STABILIZER BAR BUSH D21.5,https://polishventure.com/product/land-rover-3-discovery-3-rear-stabilizer-bar-bush-d21-5/,https://polishventure.com/wp-content/uploads/2024/03/LRSB-DIIIR-400x400.jpg,Land Rover,,,,,PolishVenture,2025-11-02 14:28:07
NGK ILZKR7B-11S Laser Iridium Spark plugs,0.0,KSh0.00,SKU:PLUG75In Stock,,Spark plug,https://polishventure.com/product/ngk-ilzkr7b-11s-laser-iridium-spark-plugs/,https://polishventure.com/wp-content/uploads/2024/07/ILZKR7B-11S-400x400.jpg,,,,,,PolishVenture,2025-11-02 14:28:10
Hyundai IX35/Tucson 11 Left Parking Brake Cable,0.0,KSh0.00,SKU:19703In Stock,Hyundai,LEFT PARKING BRAKE CABLE,https://polishventure.com/product/hyundai-ix35-tucson-11-left-parking-brake-cable/,https://polishventure.com/wp-content/uploads/2024/03/12100-IX35LH-400x400.jpg,Hyundai,,,,,PolishVenture,2025-11-02 14:28:12
"Denso IK16TT Spark Plug for Mazda Demio, Axela, Verisa",0.0,KSh0.00,In Stock,Mazda,"DescriptionDenso IK16TT Spark Plug for Mazda Demio, Axela, VerisaNGK Cross-reference DIFR5C11The spark plugs are what supply the spark that ignites the air/fuel mixture, creating the explosion which makes your engine produce power. New spark plugs, for instance, keep your engine at its peak and efficiency levels.Benefits of replacing spark plugsThe primary benefit is knowing your car will start without a hitch. Needless to say, that’s not all that matters. New spark plugs provide a lot of other performance benefits as well.1.Firstly, consistent production of optimal combustion. Fully functioning spark plugs equate a fully functioning combustion system. Get this operating successfully, and a lot of performance issues you’re experiencing could be a distant memory.2. Secondly, better fuel economy. The National Institute for Automotive Service Excellence says misfiring spark plugs can reduce fuel efficiency by 30%. New plugs, when replaced at specified intervals, maximize fuel economy and save some dough.3. Thirdly, smooth and energetic starts. The first time you turn the ignition with a new spark plug can be an eye-opening experience. That old spark plug may have been the reason your car was experiencing those jerky starts.4. Fourth, less harmful emissions. The Environmental Protection Agency states that regular engine tune-ups—especially in regard to spark plugs—not only save gas but also reduce air pollution. That’s a win-win.5. Lastly, reduces the risk of catalytic converter failure.Polish Venture says NO to COUNTERFEIT!80% of spark plugs sold in Kenya today are counterfeit. Know how to spot the fake and avoid damaging your engine.Popular spark plug manufacturers such as NGK, Denso, Bosch, for example, give iridium spark plugs a life expectancy of 40,000 to 50,000km but typically last longer. Nickel spark plugs on the other hand last 10,000 to 20,000km.Know How To Spot The FakeBuy genuine Denso IK16TT Spark Plug for Mazda Demio, Axela, Verisa at the best price in Nairobi, KenyaShop for service partsCheck out our Car AccessoriesShop for Suspension PartsFollow us onFacebookfor the latest offers!",https://polishventure.com/product/denso-ik16tt-spark-plug-for-mazda-demio-axela-verisa/,https://polishventure.com/wp-content/uploads/2022/06/Denso-IK16TT-Spark-Plug-for-Mazda-Demio-Axela-Verisa-400x400.jpg,Mazda,Axela,,,,PolishVenture,2025-11-02 14:28:13
Mitsubishi Galant EA5A Left Engine Mount Bushing,0.0,KSh0.00,SKU:9426In Stock,Mitsubishi,DescriptionMitsubishi Galant EA5A Left Engine Mount BushingBrand: FEBESTPart No: MMB-EA5ALHOEM No: #MR198557FITS: MITSUBISHIMITSUBISHI GALANT EA5A 1996.10-2006.03 [GE]Follow us on Facebook for the latest offersSee more Mitsubishi Spare parts,https://polishventure.com/product/mitsubishi-galant-ea5a-left-engine-mount-bushing/,https://polishventure.com/wp-content/uploads/2023/10/MMB-EA5ALH-400x400.jpg,Mitsubishi,,1996,,NO,PolishVenture,2025-11-02 14:28:15
Kia Soul Inner CV Joint 23X40X27,0.0,KSh0.00,SKU:5682In Stock,Kia,INNER CV JOINT 23X40X27,https://polishventure.com/product/kia-soul-inner-cv-joint-23x40x27/,https://polishventure.com/wp-content/uploads/2023/10/2211-SOULB2-400x400.jpg,Kia,,,,,PolishVenture,2025-11-02 14:28:19
Motokool Radiator Coolant,0.0,KSh0.00,SKU:N/AOut of stock,,DescriptionMotokool Radiator CoolantFeaturesPrevents overheatingPrevents corrosionProven performanceProtects the radiatorPrevents rustPremium qualityReady to use coolantFormulated using German oat technology.Shop for service partsCheck out our Car AccessoriesShop for Suspension PartsFollow us onFacebookfor the latest offers!,https://polishventure.com/product/motokool-radiator-coolant/,https://polishventure.com/wp-content/uploads/2022/06/Motokool-Coolant-1-400x400.jpg,,,,,,PolishVenture,2025-11-02 14:28:30
"MITSUBISHI L200,L200 SPORTERO KB8T 2005.05- GE Cross shaft joint, drive shaft 30X71.5/101",0.0,KSh0.00,SKU:22515In Stock,Mitsubishi,"Cross shaft joint, drive shaft 30X71.5/101",https://polishventure.com/product/mitsubishil200l200-sportero-kb8t-2005-05-ge-cross-shaft-joint-drive-shaft-30x71-5-101/,https://polishventure.com/wp-content/uploads/2024/04/ASM-99-400x400.jpg,Mitsubishi,L200,2005,,,PolishVenture,2025-11-02 14:28:31
Hyundai IX35/Tucson 10 Rear Knuckle Bushing,0.0,KSh0.00,SKU:8731In Stock,Hyundai,REAR KNUCKLE BUSHING,https://polishventure.com/product/hyundai-ix35-tucson-10-rear-knuckle-bushing-2/,https://polishventure.com/wp-content/uploads/2023/10/HYAB-TM1-400x400.jpg,Hyundai,,,,,PolishVenture,2025-11-02 14:28:39
